0,1,2,3,4,5
20th Century Boys,20th Century Boys,3,https://myanimelist.net/manga/3/20th_Century_Boys,https://cdn.myanimelist.net/images/manga/5/260006.jpg?s=b437a7b1e1f15ff9a5759121351e47d5,"As the 20th century approaches its end, people all over the world are anxious that the world is changing. And probably not for the better. Kenji Endo is a normal convenience store manager who's just t..."
Akumetsu,Akumetsu,1101,https://myanimelist.net/manga/1101/Akumetsu,https://cdn.myanimelist.net/images/manga/2/183734.jpg?s=910c302ebced39eff1fa67b18e61f11a,"Due to an economic downturn plaguing Japan, Shiina Nagasawa decides to take up prostitution as a means to support her family after her father goes bankrupt. To this end, she attends a party where the..."
Ayashimon,Ayashimon,141583,https://myanimelist.net/manga/141583/Ayashimon,https://cdn.myanimelist.net/images/manga/1/256654.jpg?s=fe0adc91d9a7830fd781a9de4c0ae18d,"Years ago, the death of the infamous Enma Syndicate's chairman, who united all those below him, led to numerous individual yakuza groups being created. These groups are filled with ""ayashimon""—superna..."
Dandadan,Dandadan,135496,https://myanimelist.net/manga/135496/Dandadan,https://cdn.myanimelist.net/images/manga/2/248746.jpg?s=a86007740a5ae53f941895995c3299e3,"After being aggressively rejected, Momo Ayase finds herself sulking when she stumbles across a boy being bullied. Saved by her rash kindness, the occult-obsessed boy attempts to speak to her about sup..."
Jigokuraku,Jigokuraku,112318,https://myanimelist.net/manga/112318/Jigokuraku,https://cdn.myanimelist.net/images/manga/2/208522.jpg?s=d4c4baf56356696201a3ba8b8a67a35c,"Gabimaru the Hollow, a ninja of Iwagakure Village known for being cold and emotionless, was set up by his fellow ninja and is now on death row. Tired of killing and betrayal, he wants to die. However,..."
Last Game,Last Game,30315,https://myanimelist.net/manga/30315/Last_Game,https://cdn.myanimelist.net/images/manga/3/258207.jpg?s=91b1a897e185c07ea8b49a146ab59161,"Nothing is beyond Naoto Yanagi, heir to the Yanagi business conglomerate. Idolized for his athletic and intellectual competence, looks and wealth, Naoto lived like a king during his elementary school..."
Shuumatsu no Harem,Shuumatsu no Harem,98752,https://myanimelist.net/manga/98752/Shuumatsu_no_Harem,https://cdn.myanimelist.net/images/manga/3/183037.jpg?s=70aa35433da74500160dc3f3c0468733,"Diagnosed with multiple sclerosis, young researcher Reito Mizuhara is to be put into cryosleep until a cure can be found. Short on time, Reito decides to confess his pent-up feelings to his childhood..."
Solo Leveling,Solo Leveling,121496,https://myanimelist.net/manga/121496/Solo_Leveling,https://cdn.myanimelist.net/images/manga/3/222295.jpg?s=b3abea95ceaccea8adf223bd0e4047b6,"Ten years ago, ""the Gate"" appeared and connected the real world with the realm of magic and monsters. To combat these vile beasts, ordinary people received superhuman powers and became known as ""Hunte..."
Vagabond,Vagabond,656,https://myanimelist.net/manga/656/Vagabond,https://cdn.myanimelist.net/images/manga/1/259070.jpg?s=44d04f9e5ce80fa5af1bd6dc74241e81,"In 16th-century Japan, Shinmen Takezou is a wild, rough young man, in both his appearance and his actions. His aggressive nature has won him the collective reproach and fear of his village, leading hi..."
Wind Breaker,Wind Breaker,133081,https://myanimelist.net/manga/133081/Wind_Breaker,https://cdn.myanimelist.net/images/manga/1/244074.jpg?s=db057fe8bd4c691541e457635ac37d8c,"Haruka Sakura wants nothing to do with weaklings—he's only interested in the strongest of the strong. He's just started at Furin High School, a school of degenerates known only for their brawling stre..."
Chainsaw Man,Chainsaw Man,116778,https://myanimelist.net/manga/116778/Chainsaw_Man,https://cdn.myanimelist.net/images/manga/3/216464.jpg?s=be8b827c88ca462abed2d034b1a98dae,"Denji has a simple dream—to live a happy and peaceful life, spending time with a girl he likes. This is a far cry from reality, however, as Denji is forced by the yakuza into killing devils in order t..."
Uzumaki,Uzumaki,436,https://myanimelist.net/manga/436/Uzumaki,https://cdn.myanimelist.net/images/manga/3/185972.jpg?s=8d5359a5c3f7369167bdedb9653de9e8,"In the town of Kurouzu-cho, Kirie Goshima lives a fairly normal life with her family. As she walks to the train station one day to meet her boyfriend, Shuuichi Saito, she sees his father staring at a..."
Uzumaki Tokubetsu-hen: Ginga,Uzumaki Tokubetsu-hen: Ginga,119534,https://myanimelist.net/manga/119534/Uzumaki_Tokubetsu-hen__Ginga,https://cdn.myanimelist.net/images/manga/3/234226.jpg?s=43e0178faa1774371f131dd818e192e5,"One night, Shuuichi Saitou reveals something incredible to his girlfriend, Kirie Goshima: he has recently discovered a new spiral-shaped galaxy. Filled with excitement, Kirie shares the news with her..."
